Year,Period,labor force,employment,unemployment,unemployment rate
2020,Jan,440332,419430,20902,4.7
2020,Feb,442706,422131,20575,4.6
2020,Mar,437598,415614,21984,5
2020,Apr,414535,371514,43021,10.4
2020,May,414464,371736,42728,10.3
2020,Jun,420489,378337,42152,10
2020,Jul,435095,378360,56735,13
2020,Aug,423306,385129,38177,9
2020,Sep,444293,407378,36915,8.3
2020,Oct,438584,404787,33797,7.7
2020,Nov,438332,404466,33866,7.7
2020,Dec,440283,404900,35383,8
2021,Jan,437375,399582,37793,8.6
2021,Feb,438267,404206,34061,7.8
2021,Mar,434046,401820,32226,7.4
2021,Apr,435564,404317,31247,7.2
2021,May,431620,401310,30310,7
2021,Jun,434765,399810,34955,8
2021,Jul,436171,403850,32321,7.4
2021,Aug,434561,408366,26195,6
2021,Sep,431408,407606,23802,5.5
